company_id,id_x,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,profit_margin,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_to_equity,id,operating_activity,investing_activity,financing_activity,net_cash_flow,free_cash_flow,profit_score,leverage_score,cash_score,health_score,health_label
IRFC,753.0,14030.846153846154,72.15384615384616,13958.615384615385,99.61538461538461,5.153846153846154,10319.076923076924,3.6153846153846154,3640.846153846154,27.833333333333332,3145.230769230769,77.3076923076923,23.916666666666668,19.37306388271311,825.0,8728.538461538461,17245.53846153846,221678.76923076922,15748.076923076924,263400.6923076923,18.615384615384617,0.3076923076923077,18.0,263363.8461538461,263400.6923076923,8.573979646907306,695.0,-38150.11111111111,-0.5555555555555556,38157.666666666664,7.111111111111111,-38150.666666666664,0.08466242534185331,0.8974934717215718,0.04544215685442389,31.674565870954,POOR
ITC,766.0,50438.46153846154,32037.076923076922,18401.615384615383,36.46153846153846,1928.4615384615386,73.23076923076923,1407.923076923077,18848.76923076923,29.416666666666668,13563.615384615385,10.615384615384615,71.83333333333333,26.582385776496892,838.0,1099.0,51968.53846153846,192.46153846153845,13323.307692307691,66583.23076923077,19974.46153846154,3196.6923076923076,20303.53846153846,23108.46153846154,66583.23076923077,0.003914013418237162,705.5,12459.75,-3256.9166666666665,-9170.75,31.916666666666668,9202.833333333334,0.09618771480386887,0.9999532058689592,0.5813380185390044,51.286245324393654,AVERAGE
JINDALSTEL,779.0,35159.307692307695,27148.076923076922,8011.2307692307695,23.53846153846154,-377.61538461538464,2539.6923076923076,3072.5384615384614,2021.2307692307693,8.666666666666666,1488.6923076923076,13.76923076923077,2.1666666666666665,2.5808707000653994,1042.0,96.76923076923077,32195.615384615383,31436.53846153846,16103.846153846154,79832.84615384616,52307.38461538462,8764.384615384615,645.2307692307693,18115.923076923078,79832.84615384616,1.0833118292950388,717.5,7283.0,-4470.833333333333,-2457.1666666666665,355.0833333333333,2812.1666666666665,0.05781733644396761,0.9870484256742966,0.50901534291688,47.194606515493994,AVERAGE
JIOFIN,787.0,1289.3333333333333,246.33333333333334,1043.0,83.33333333333333,291.3333333333333,3.3333333333333335,14.666666666666666,1316.3333333333333,27.5,1081.0,3.0,0.0,79.02276800171416,1034.0,4236.0,125901.0,247.66666666666666,4286.333333333333,134671.66666666666,167.0,13.666666666666666,126290.66666666667,8200.333333333334,134671.66666666666,0.002170230167075567,724.5,688.5,165.5,-821.0,33.5,854.0,0.1800223102830219,0.999974053733604,0.4868549236626464,51.805761733208385,AVERAGE
JSWENERGY,795.0,9133.461538461539,5588.384615384615,3545.3076923076924,38.69230769230769,309.61538461538464,1295.4615384615386,1126.6923076923076,1432.6923076923076,27.583333333333332,1131.6153846153845,6.846153846153846,23.166666666666668,12.113250757322906,1026.0,1646.6923076923076,11760.846153846154,15081.307692307691,3925.5384615384614,32414.23076923077,19227.846153846152,2463.846153846154,3585.923076923077,7137.0,32414.23076923077,1.171034976970551,731.5,3188.0,-1927.0,-986.1666666666666,274.75,1261.0,0.07305641732292889,0.9859996483633876,0.49146091088018307,47.24607347022428,AVERAGE
JSWSTEEL,808.0,92847.53846153847,76091.30769230769,16756.23076923077,18.53846153846154,103.76923076923077,4620.923076923077,4816.384615384615,7422.461538461538,20.333333333333332,5294.615384615385,22.076923076923077,18.5,5.230496740274183,1013.0,300.7692307692308,41131.92307692308,56029.230769230766,36823.692307692305,134285.61538461538,71337.69230769231,16238.076923076924,3577.5384615384614,43132.307692307695,134285.61538461538,1.4797434435200776,743.5,12613.0,-9210.5,-2792.75,609.6666666666666,3402.5,0.06205320044469026,0.9823088729639424,0.5156960991513252,47.42227718124563,AVERAGE
KOTAKBANK,821.0,30485.153846153848,13404.923076923076,23139.076923076922,-6058.923076923077,-18.923076923076923,18513.46153846154,382.2307692307692,12072.23076923077,29.166666666666668,8939.615384615385,46.46153846153846,1.9166666666666667,26.827545811534783,1000.5,817.9166666666666,59687.0,263398.5833333333,50512.916666666664,374416.75,2213.8333333333335,0.0,111078.58333333333,261124.41666666666,374416.75,4.653248685340162,755.5,8181.333333333333,-7126.25,4080.6666666666665,5135.833333333333,1055.0833333333333,0.09657964353308346,0.9443679145981606,0.48913056804346455,46.868140220572094,AVERAGE
LICI,831.0,734395.8571428572,720840.7142857143,13554.857142857143,1.5714285714285714,12061.714285714286,29.285714285714285,357.14285714285717,25230.14285714286,52.666666666666664,18688.14285714286,48.75,7.833333333333333,2.2776605512001367,991.0,3657.1428571428573,31578.714285714286,74690.0,4264978.0,4374903.571428572,19177.14285714286,360.7142857142857,3993280.5714285714,362085.14285714284,4374903.571428572,83.64325463855985,764.5,37516.833333333336,8680.333333333334,-48977.5,-2780.5,46197.166666666664,0.057332605038576186,0.0,1.0,32.29330420154305,POOR
LODHA,841.0,8431.307692307691,6482.846153846154,1948.3846153846155,23.23076923076923,129.69230769230768,596.3846153846154,209.92307692307693,1271.5384615384614,22.666666666666668,901.6153846153846,12.384615384615385,3.090909090909091,10.33925888316905,981.0,390.9230769230769,6665.692307692308,13298.692307692309,14551.0,34913.92307692308,1722.3846153846155,45.23076923076923,1049.5384615384614,32088.615384615383,34913.92307692308,3.3856815516995065,781.0,1738.3333333333333,-252.33333333333334,-1320.888888888889,165.33333333333334,1486.0,0.07022039887984674,0.9595223599759508,0.4940072183100252,46.41470330377315,AVERAGE
LT,854.0,138310.23076923078,117047.15384615384,21263.076923076922,15.76923076923077,2796.6153846153848,8428.153846153846,2574.6923076923076,13056.846153846154,27.583333333333332,9454.076923076924,59.76923076923077,31.25,6.711370689294926,968.0,20.846153846153847,7954.384615384615,655.6153846153846,2708.3076923076924,11338.923076923076,2017.7692307692307,218.69230769230768,3090.230769230769,6012.461538461538,11338.923076923076,0.0753339000387082,791.5,5478.333333333333,-5196.166666666667,529.9166666666666,812.0,282.1666666666667,0.06442062156566122,0.9990993427938183,0.48038353048354376,46.96131106094731,AVERAGE
